Lattice Volume
Data:
1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,27,27,27,27,27,27,27,27,27,27,64,64,64,64,64,64,64,64,64,64,125,125,125,125,125,125,125,125,125,125,216,216,216,216,216,216,216,216,216,216,343,343,343,343,343,343,343,343,343,343,512,512,512,512,512,512,512,512,512,512,729,729,729,729,729,729,729,729,729,729,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1728,1728,1728,1728,1728,1728,1728,1728,1728,1728,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,3375,3375,3375,3375,3375,3375,3375,3375,3375,3375,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4913,4913,4913,4913,4913,4913,4913,4913,4913,4913,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,6859,6859,6859,6859,6859,6859,6859,6859,6859,6859,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
1,2,2,1,1,1,1,6,4,1,1,1,1,1,2,2,1,1,1,3,2,2,1,1,14,4,9,1,5,1,1,27,10,11,1,4,5,3,3,1,1,33,11,12,14,16,1,1,1,80,18,140,15,7,3,67,19,106,1,8,58,11,8,14,2,35,33,80,23,1,17,5,98,17,130,41,5,26,92,23,81,50,106,48,51,134,17,191,78,4,114,61,18,30,48,276,231,32,10,59,70,4,7,33,104,42,157,142,41,143,163,11,230,150,20,17,10,41,39,197,78,5,260,72,14,136,220,137,12,68,205,29,235,20,50,147,28,92,53,153,25,16,36,19,85,331,87,13,40,67,38,30,40,103,21,164,21,79,289,223,44,46,55,87,114,15,14,57,92,87,45,63,82,23,74,230,166,6,56,186,26,24,91,61,53,52,115,314,27,204,91,166,123,16,24,71,21,64,84,230,38
Average switch time
Data:
1,1728,8,64,1331,3375,729,4096,6859,343,2744,125,1000,5832,27,8000,2197,216,4913,512
1.9090909090909,79.3,1.5,6.6,83.6,73.2,79.3,101.4,103.2,22.4,83.2,18.7,83.5,91.2,3.9,83.7,112.9,42.4,61.2,51.8
